Order_ID,Order_Date,Customer_ID,Customer_City,Customer_State,Category,Sub_Category,Product_Name,Price,Quantity,Discount_Percentage,Payment_Method,Delivery_Type,Delivery_Days,Return_Status,Rating
F1000,2025-10-13,CUST162,Curtisville,Maine,Fashion,Men Clothing,Series,36289,3,24,Debit Card,Standard,4,No,1
F1001,2025-08-21,CUST329,Port Aprilchester,Georgia,Home,Kitchen,Activity,58455,2,26,EMI,Standard,7,Yes,1
F1002,2025-12-13,CUST521,Matthewmouth,Maryland,Grocery,Beverages,Store,58143,5,27,COD,Standard,7,Yes,3
F1003,2026-01-06,CUST303,South Mollyland,Kansas,Electronics,Laptop,Style,28306,2,12,COD,Express,2,No,1
F1004,2025-10-30,CUST541,Lake Justin,Oregon,Grocery,Snacks,Per,53783,4,29,EMI,Express,5,No,1
F1005,2025-10-14,CUST542,East Breannastad,New Hampshire,Beauty,Makeup,Happen,38756,5,29,EMI,Standard,7,Yes,2
F1006,2025-09-24,CUST874,Erikaview,Indiana,Fashion,Women Clothing,Why,48569,2,23,EMI,Express,3,Yes,5
F1007,2025-08-21,CUST451,Mckinneyborough,Idaho,Home,Furniture,Performance,13968,3,5,COD,Express,7,Yes,1
F1008,2026-01-30,CUST623,Hobbshaven,Tennessee,Beauty,Skincare,Finally,6830,1,22,EMI,Standard,5,No,5
F1009,2025-11-23,CUST372,Williamsborough,Vermont,Fashion,Women Clothing,Size,14519,1,13,Credit Card,Standard,4,No,5
F1010,2025-09-13,CUST404,Lake Grant,Missouri,Beauty,Makeup,Mean,58485,1,20,UPI,Express,2,Yes,1
F1011,2026-01-02,CUST717,Andrewshire,Alaska,Fashion,Men Clothing,Maintain,48846,4,29,Debit Card,Standard,4,Yes,3
F1012,2025-12-14,CUST795,North Thomasside,Washington,Fashion,Women Clothing,Actually,19205,3,16,Debit Card,Express,4,No,4
F1013,2025-10-30,CUST262,Port Angelaside,Michigan,Beauty,Skincare,Board,21051,1,23,COD,Express,4,Yes,5
F1014,2025-10-09,CUST226,Murrayburgh,Wisconsin,Electronics,Accessories,Final,14361,3,21,Credit Card,Express,6,Yes,3
F1015,2025-09-01,CUST145,Bakermouth,Hawaii,Fashion,Women Clothing,Week,17029,2,7,UPI,Express,6,Yes,3
F1016,2025-09-23,CUST111,South Angela,Georgia,Electronics,Mobile,Go,34699,3,16,Debit Card,Express,5,Yes,1
F1017,2025-11-26,CUST717,East Denise,Oregon,Beauty,Skincare,Describe,58399,2,23,UPI,Standard,4,Yes,5
F1018,2025-12-20,CUST506,Colemanborough,Virginia,Fashion,Men Clothing,Response,50664,2,6,Credit Card,Standard,4,No,5
F1019,2025-11-26,CUST359,New Kiarastad,Nevada,Fashion,Women Clothing,Either,4563,3,18,Credit Card,Express,2,No,3
F1020,2026-02-03,CUST301,Lake Jose,Arizona,Grocery,Snacks,Chair,9442,5,26,Debit Card,Standard,6,Yes,2
F1021,2025-12-20,CUST853,Karenburgh,Indiana,Electronics,Mobile,Year,56176,4,14,Debit Card,Standard,6,No,4
F1022,2025-10-02,CUST270,Lake Judyton,Florida,Beauty,Makeup,Professional,43633,2,16,EMI,Express,2,No,3
F1023,2025-09-21,CUST689,Daviston,Illinois,Electronics,Accessories,Successful,14460,1,24,Credit Card,Express,5,Yes,4
F1024,2025-09-11,CUST992,Jodiport,Texas,Beauty,Makeup,Particularly,49149,3,30,COD,Standard,2,No,1
F1025,2025-09-01,CUST399,Grantchester,Washington,Electronics,Mobile,Surface,25309,1,22,Debit Card,Express,3,No,4
F1026,2025-09-30,CUST804,West Alecfort,Illinois,Beauty,Makeup,Car,48500,2,21,Debit Card,Express,6,Yes,3
F1027,2025-11-05,CUST106,South Karla,Georgia,Grocery,Snacks,Amount,43710,4,12,UPI,Express,7,No,2
F1028,2026-01-04,CUST764,Port Stacey,Alaska,Home,Kitchen,Give,33877,3,9,EMI,Express,3,No,1
F1029,2025-09-10,CUST790,East Justinfurt,Maine,Home,Kitchen,Their,53515,2,15,UPI,Express,5,Yes,1
F1030,2025-11-08,CUST840,East Davidton,West Virginia,Fashion,Men Clothing,Inside,45382,5,14,EMI,Express,6,Yes,4
F1031,2025-09-16,CUST847,Ashleymouth,Idaho,Electronics,Laptop,Area,42099,4,8,Debit Card,Express,5,No,3
F1032,2025-09-23,CUST618,Darlenefort,Arkansas,Beauty,Skincare,Marriage,55690,2,18,UPI,Standard,7,Yes,5
F1033,2025-12-24,CUST618,North Brooketown,Pennsylvania,Electronics,Accessories,Question,25024,4,25,EMI,Standard,6,Yes,3
F1034,2026-02-06,CUST759,Lake Erika,Wisconsin,Electronics,Laptop,System,41495,3,21,UPI,Standard,3,Yes,1
F1035,2026-01-15,CUST349,Lake Jeffrey,Texas,Home,Furniture,Scene,58851,4,21,COD,Express,7,No,4
F1036,2025-09-04,CUST798,Gallowayside,Vermont,Fashion,Women Clothing,Human,7971,5,30,Credit Card,Standard,3,Yes,1
F1037,2026-01-06,CUST116,Sanchezhaven,Nevada,Home,Kitchen,Lay,51211,3,9,Credit Card,Standard,2,Yes,4
F1038,2025-11-06,CUST157,Kyleland,Washington,Beauty,Skincare,Couple,42159,5,21,Debit Card,Standard,5,No,4
F1039,2025-09-13,CUST859,South Bryanshire,Montana,Electronics,Mobile,Not,44872,2,22,EMI,Express,3,Yes,5
F1040,2025-09-02,CUST191,Royville,Michigan,Grocery,Beverages,Before,10090,1,23,EMI,Standard,3,Yes,5
F1041,2025-11-30,CUST733,West Steven,Wyoming,Fashion,Men Clothing,Idea,19763,3,25,UPI,Standard,5,No,1
F1042,2025-08-21,CUST475,New Andrew,Hawaii,Electronics,Laptop,Threat,55325,5,27,EMI,Express,3,No,5
F1043,2025-08-30,CUST243,West Jeremy,Nevada,Electronics,Mobile,Court,47816,4,12,COD,Express,2,No,5
F1044,2025-10-15,CUST277,South Ryanburgh,Iowa,Grocery,Beverages,Late,22924,1,19,Credit Card,Express,7,No,1
F1045,2025-09-01,CUST953,Smithtown,New Jersey,Home,Kitchen,Industry,42830,1,26,COD,Express,7,Yes,3
F1046,2026-02-08,CUST734,Port Raymondborough,Kansas,Electronics,Accessories,Property,46857,1,19,Debit Card,Standard,3,Yes,5
F1047,2026-01-06,CUST700,South Kaitlyn,Kansas,Electronics,Accessories,Tax,7163,2,12,UPI,Express,7,No,2
F1048,2025-09-24,CUST124,Port Angela,South Carolina,Grocery,Beverages,Represent,55893,4,11,Debit Card,Standard,6,No,3
F1049,2025-12-22,CUST345,Angelahaven,Montana,Beauty,Makeup,Owner,46170,3,27,UPI,Standard,4,Yes,5
F1050,2025-09-18,CUST158,Jonesfort,Louisiana,Beauty,Skincare,Size,41901,5,10,Debit Card,Standard,3,Yes,3
F1051,2026-01-10,CUST136,Sanfordview,Colorado,Fashion,Men Clothing,Government,6837,3,30,UPI,Standard,7,No,5
F1052,2025-11-18,CUST545,Levineton,Florida,Home,Kitchen,Church,31850,5,9,EMI,Standard,5,Yes,4
F1053,2025-10-06,CUST736,Franklinshire,Utah,Home,Kitchen,Know,24945,5,7,Credit Card,Standard,5,No,5
F1054,2026-02-03,CUST990,Port Kelly,Oklahoma,Fashion,Women Clothing,Others,12155,4,9,Debit Card,Standard,4,Yes,3
F1055,2025-09-06,CUST996,Port Michelle,Indiana,Beauty,Skincare,Full,53745,3,19,Credit Card,Express,5,Yes,1
F1056,2025-11-12,CUST212,Cherylport,New Mexico,Grocery,Beverages,May,5744,1,18,UPI,Express,4,Yes,1
F1057,2026-02-14,CUST211,South Elizabeth,Virginia,Beauty,Makeup,Item,21185,1,30,EMI,Standard,6,Yes,4
F1058,2026-01-05,CUST892,West Paige,Vermont,Home,Furniture,Candidate,10709,2,10,UPI,Standard,4,No,2
F1059,2026-01-09,CUST674,New Tylerview,New Mexico,Electronics,Laptop,Require,15928,3,26,Debit Card,Express,2,Yes,5
F1060,2025-08-22,CUST898,New Douglasmouth,California,Grocery,Snacks,Production,34808,3,11,EMI,Standard,5,Yes,1
F1061,2025-11-27,CUST438,North Erica,Michigan,Fashion,Women Clothing,Democrat,10312,1,18,Debit Card,Express,2,No,3
F1062,2025-08-28,CUST723,Port Troyside,Nevada,Grocery,Beverages,Few,49798,4,15,Debit Card,Standard,3,No,3
F1063,2026-01-16,CUST556,New Joseph,Ohio,Grocery,Snacks,Life,8290,4,8,UPI,Standard,7,Yes,4
F1064,2025-10-01,CUST583,North Marvinview,Minnesota,Grocery,Snacks,Effort,21905,5,21,EMI,Standard,2,No,4
F1065,2026-01-17,CUST462,North Matthew,Connecticut,Home,Kitchen,Administration,8234,2,14,Credit Card,Express,4,No,5
F1066,2025-09-14,CUST374,Darrenton,Florida,Electronics,Mobile,Strong,43255,3,12,Credit Card,Standard,3,No,3
F1067,2025-11-05,CUST845,East Hunter,Mississippi,Beauty,Skincare,Suddenly,45843,5,23,EMI,Express,4,No,2
F1068,2025-09-25,CUST341,Oliviastad,New Hampshire,Home,Kitchen,Question,9553,1,13,UPI,Standard,2,Yes,3
F1069,2025-11-26,CUST502,Rodriguezburgh,Connecticut,Grocery,Beverages,Offer,16826,1,21,EMI,Standard,4,No,5
F1070,2025-12-27,CUST835,Jonathanchester,Iowa,Home,Furniture,Member,41707,1,5,EMI,Express,7,Yes,2
